location,price,room,area
Жамбыла 38,12500000,1,41.
Абая,21500000,2,52 
Абая 80,35000000,3,96 
Павлова 13а,24000000,2,50 
Менделеева — Транспортная/Менделеева,12000000,1,31 
Менделеева 20 — Карасай батыра,16000000,2,35 
Павлова,15500000,1,35 
Менделеева 15 — Карасай батыра,28000000,3,78 
Рыскулова 72,25000000,2,48 
Мелиоратор 4,28000000,3,65 
Конаева 166 — Шашлычного ценра,23000000,2,52.
Абая 85,18500000,1,35 
Бокина 3 — Шаяхметова,16000000,2,50 
Шаяхметова 42 — Нуртазина,15500000,2,37 
Ул.Мусрепова д51 4 блок,6300000,3,66.
Мусрепова 57/1,20500000,2,66.
Муратбаева — Павлова,12480000,2,41.
Павлова 1 — Муратбаева,12253000,1,40.
Абая 87 — Ниже ул.Кунаева на 300 метров,20500000,2,52 
Нуртазина,20500000,3,59 
Нұртазин 16 — Абай мен Бокин көшелерінің ортасы,17000000,2,49 
Бокина 27,12326400,2,38.
Карасай батыра 26,23800000,3,68.
Кендалинский округ Талгарский р-н с. Актас,14000000,3,60 
Менделеева 13,14000000,2,45 
Нуртазина 31,40000000,3,101
Суюнбая — Кунаева,13500000,2,38.
Карасай батыра 20,21800000,3,58 
Милиоратор Абай 13 — Милиоратор,20000000,2,54 
Бокина 24,19000000,3,60 
Нуртазина 23,21000000,2,54 
Менделеева 15,23000000,3,63 
Карасай батыра 32,21000000,3,63 
Мелиоратор 26,25000000,3,67 
Бокина — Возле Налоговой,18000000,2,43 
Кендала 8,15300000,3,50 
Мкр.Мелиоратор 9 — Чешский пивовар Талгар,33000000,3,63.
Абая 72,20000000,3,60.
Менделеева,25000000,3,64 
Бокина 9 — Лермонтова,30000000,3,67 
Қарасай батыр 38,24900000,3,72 
Абая 80,35000000,3,96 
Абая 80,35000000,3,96 
Нуртазина,24000000,2,52 
Абая,21500000,2,52 
Павлова 13,24000000,2,49 
Абылайхан — Рысқұлов,15000000,1,40 
Абая 72,26000000,3,60.
Махмута Кашкари 16,11000000,2,38 
Менделеева 13,18000000,2,50 
Карасай батыра 34б,27000000,3,78 
Ахметова,23000000,2,57 
Малькеева 55 — Возле налоговой,29000000,3,60 
Махмут Кашкари 16,12000000,1,38 
Мелиоратор 5 — По Абая чуть выше Кунаева,35000000,3,73 
Мелиоратор — Абая,24000000,3,66 
Муратбаева 31 — Бозторғай мкр,28000000,3,70 
Центральная — Актас,12500000,2,51 
Карасай батырв 30,16000000,2,50.
Менделеева 17 — Менделеева - Карасай Батыра,18000000,2,37.
Конаева — Абая,19999999,2,57.
Светлова 9 — Ш.Руставелли,23000000,3,67.
Абая 83,27000000,2,48 
Чайковского 1 А,20000000,3,56 
РТС 209 — Главный трассе Талгара вторая остановка РТС,6500000,1,18 
Нажмидинова,6500000,2,25.
Сатпаева,16000000,3,67 
Бокина 12 — Центр ,14500000,3,44.
Нуртазина 31 — Талгар за цоном,19900000,2,52.
Қарасай батыр 52 — Автобаза,28500000,3,75.
Мусрепова 57/1,13500000,2,45 
Карасай Батыра — Менделеева,11500000,1,37 
Малькеева,26000000,3,60 
Карасай Батыра 26 — Автобаза район,25000000,3,61 
Кунаева 166 — Кунаева Абая,26000000,3,65 
Жамбыла 38,21500000,1,41.
Лермонтова 55  /8,32900000,3,90 
Сады Алатау,37830188,2,70.
Асан Кайгы 8а — Асфендиярова,11500000,2,35 
Кунаева 164,30000000,3,65.
Кунаева 166 — Кунаева - Абая,22000000,2,52.
Милиоратор 9,21500000,2,56 
Нуртазина 31 — Возле ЦОНа,21250000,1,42 
Карасай батыра — Автобаза,23000000,3,73 
Курлысшы 1 — Мкр курлысшы,40000000,5,132
Менделеева — Автобаза,25000000,2,44.
улица Лермонтова 54 — Бокина,30000000,3,91.
Абая 85 — Абая/Кунаева,22000000,2,47 
Нуртазина 25,18000000,1,47.
Абылайхана 203 кв23 — Пром комбинат,35000000,3,70 
Бокина 20 — Выше налоговой,16500000,2,36 
Лермонтова 47 — ЦОН,25000000,3,62 
Нуртазина 31 — Цон,45000000,3,102
Абая 80,20000000,1,47 
Карасай батыра,23000000,3,66.
Гагарина 102 — Д. Кунаева,16000000,2,46.
Карасай  батыра 22,23500000,3,70 
Бокина — Возле налоговой,20000000,2,56 
Мусрепова 57/1,19000000,2,42 
ул. Абая,26000000,2,61.
М Қашқари 20 — Возле бывшего колледжа им Д.А.Кунаева,8500000,2,25 
Нуртазина 31,22500000,2,61.
Абая,23500000,3,70 
Нуртазина 21,23000000,2,52.
Ахметова 30,13500000,1,33.
Абая 72 — Цон,16300000,1,30 
Ахметова 29,22000000,2,60 
Мусрепова,18500000,2,43 
Гагарина 102 — Акимата,16000000,2,47 
Менделеева 13,18000000,2,48 
Менделеева,17500000,2,40 
Абая 87,20000000,2,54 
Кунаева 209,7600000,1,18 
Нуртазина,28500000,2,47 
Абая 87,19990000,2,56 
Рыскулова 257,21000000,3,58.
Нуртазина 31 — Грушевая Лермонтова,14600000,1,36 
Муратбаева 31 — Район новой больницы,24000000,2,54 
Бокина,35000000,2,70 
Шаяхметова — Бокина,16500000,2,37.
Мусрепова 51/7 — Новый жилой комплекс. Алтын Бекет. находится чуть выше Новой больнице.,2200000,2,41.
Абая 78а — Цон,31000000,2,60 
Нуртазина 23 — ул. Лермонтова ( ЦОН),25000000,2,53 
Лермонтова — Абая,20000000,2,44.
Лермонтова — Бокина,17500000,1,49 
Нуртазина 19/32,27000000,3,70 
Менделеева 18,16000000,3,52 
Менделеева 17 — Қарасай батыр,21500000,3,61.
Нуртазина 31,11500000,1,30 
Абылай хан 205,24000000,3,58 
Лермонтова,37000000,3,59 
улица Менделеева — Карасай батыра.,13500000,2,43 
Лермонтова 55,21000000,1,50 
Кастеева 5,26000000,3,87 
Рыскулова 83/2 — Напротив СХТ,9500000,2,45 
Рыскулова 83/2 — Напротив СХТ,9500000,2,45 
Карасай Батыр 54,27000000,3,75.
Бокина 3,15000000,1,31 
Лермонтова 52 — Цон,16000000,1,48 
Кунаева 164 — Абая,20000000,2,53 
Карасай Батыра 1,15000000,1,38.
Абылайхана 205А,18000000,2,43.
Кунаева 6 — Мечеть,12000000,2,45.
Рыскулова 66 — Акимат,7500000,1,19 
Бухтарминская 2 — Находится напротив нового Aport центра,15500000,1,32 
Менделеева 15,15000000,2,45.
Павлова,24000000,3,74 
Аблайхана 205,19000000,2,44 
М Қашқари 16 — Районе РТС,8000000,1,18 
Береговая 86,13600000,2,48 
Бокина 15 — ул. Лермонтово,24000000,3,64 
Жаңа 116 А — Ниже ЦОНа,32000000,2,67 
Павлова 28 — Джамбуа,7500000,1,18 
Карасай батыра 18,24000000,3,67 
Нуртазина 31,12000000,1,32 
Карасай батыра,17000000,1,34 
Менделеева 13 — Шота Руставели,19000000,2,50 
Береговая 1 — Базар  земельный комитет,15000000,2,35 
М.қашқари 16 25,12000000,2,50 
Суюнбая 6,20000000,3,53 
Менделеева,20500000,3,69 
Карасай батыра 40,24000000,3,68.
Мелиоратор 26 — Рядом с домом дорога на Акбулак,35000000,3,66.
Абая — Мкр.Жана,25000000,2,61 
Павлова,25000000,2,50 
Карасай Батыра 30,19500000,2,52.
